"Region","GRe","freq"
"Africa (excl MENA)",0,70
"Africa (excl MENA)",1,17
"Africa (excl MENA)",2,32
"Africa (excl MENA)",3,26
"Americas",0,9
"Americas",1,1
"Americas",2,2
"Americas",3,2
"Asia and Pacific",0,27
"Asia and Pacific",1,4
"Asia and Pacific",2,11
"Asia and Pacific",3,18
"Cross-regional",0,1
"Cross-regional",1,2
"Cross-regional",2,2
"Europe and Eurasia",0,75
"Europe and Eurasia",1,2
"Europe and Eurasia",2,18
"Europe and Eurasia",3,6
"Middle East and North Africa",0,11
"Middle East and North Africa",1,4
"Middle East and North Africa",2,9
"Middle East and North Africa",3,6
