"word","freq","region"
"saret",80,"Cross-regional"
"government",73,"Cross-regional"
"article",51,"Cross-regional"
"east",37,"Cross-regional"
"sides",33,"Cross-regional"
"agreement",28,"Cross-regional"
"indonesia",25,"Cross-regional"
"cooperation",25,"Cross-regional"
"peace",23,"Cross-regional"
"people",23,"Cross-regional"
"nations",23,"Cross-regional"
"regional",22,"Cross-regional"
"council",21,"Cross-regional"
"general",21,"Cross-regional"
"central",21,"Cross-regional"
"united",20,"Cross-regional"
"development",20,"Cross-regional"
"region",20,"Cross-regional"
"timor",20,"Cross-regional"
"force",17,"Cross-regional"
"laws",17,"Cross-regional"
"part",17,"Cross-regional"
"indonesian",17,"Cross-regional"
"economic",16,"Cross-regional"
"international",16,"Cross-regional"
"republic",16,"Cross-regional"
"kurdistan",15,"Cross-regional"
"russian",15,"Cross-regional"
"court",15,"Cross-regional"
"federation",14,"Cross-regional"
"security",14,"Cross-regional"
"secretary",14,"Cross-regional"
"national",13,"Cross-regional"
"areas",12,"Cross-regional"
"representatives",12,"Cross-regional"
"appeal",12,"Cross-regional"
"china",12,"Cross-regional"
"rights",12,"Cross-regional"
"chapter",11,"Cross-regional"
"countries",11,"Cross-regional"
"political",11,"Cross-regional"
"regulations",11,"Cross-regional"
"timorese",11,"Cross-regional"
"accordance",10,"Cross-regional"
"agree",10,"Cross-regional"
"basis",10,"Cross-regional"
"police",10,"Cross-regional"
"joint",9,"Cross-regional"
"members",9,"Cross-regional"
"special",9,"Cross-regional"
"affairs",9,"Cross-regional"
"governments",9,"Cross-regional"
"military",9,"Cross-regional"
"mutual",9,"Cross-regional"
"parties",9,"Cross-regional"
"competence",9,"Cross-regional"
"consultation",9,"Cross-regional"
"identity",9,"Cross-regional"
"law",9,"Cross-regional"
"afghanistan",9,"Cross-regional"
"pukhtoons",9,"Cross-regional"
"assembly",8,"Cross-regional"
"trade",8,"Cross-regional"
"authority",8,"Cross-regional"
"autonomy",8,"Cross-regional"
"minister",8,"Cross-regional"
"puk",8,"Cross-regional"
"establish",7,"Cross-regional"
"foreign",7,"Cross-regional"
"people€™",7,"Cross-regional"
"social",7,"Cross-regional"
"war",7,"Cross-regional"
"portugal",7,"Cross-regional"
"kdp",7,"Cross-regional"
"tribal",7,"Cross-regional"
"bilateral",7,"Cross-regional"
"border",7,"Cross-regional"
"forces",7,"Cross-regional"
"implementation",7,"Cross-regional"
"operations",7,"Cross-regional"
"order",7,"Cross-regional"
"president",7,"Cross-regional"
"promote",7,"Cross-regional"
"relations",7,"Cross-regional"
"stability",7,"Cross-regional"
"world",7,"Cross-regional"
"administration",7,"Cross-regional"
"constitutional",7,"Cross-regional"
"public",7,"Cross-regional"
"asia",6,"Cross-regional"
"developing",6,"Cross-regional"
"power",6,"Cross-regional"
"principles",6,"Cross-regional"
"responsibility",6,"Cross-regional"
"set",6,"Cross-regional"
"courts",6,"Cross-regional"
"framework",6,"Cross-regional"
"persons",6,"Cross-regional"
"policies",6,"Cross-regional"
"popular",6,"Cross-regional"
"national",80,"Africa (excl MENA)"
"government",46,"Africa (excl MENA)"
"state",39,"Africa (excl MENA)"
"president",38,"Africa (excl MENA)"
"parties",37,"Africa (excl MENA)"
"agreement",36,"Africa (excl MENA)"
"article",35,"Africa (excl MENA)"
"sudan",31,"Africa (excl MENA)"
"law",31,"Africa (excl MENA)"
"republic",30,"Africa (excl MENA)"
"commission",29,"Africa (excl MENA)"
"political",24,"Africa (excl MENA)"
"peace",24,"Africa (excl MENA)"
"security",23,"Africa (excl MENA)"
"constitution",23,"Africa (excl MENA)"
"members",22,"Africa (excl MENA)"
"council",22,"Africa (excl MENA)"
"assembly",20,"Africa (excl MENA)"
"public",18,"Africa (excl MENA)"
"forces",18,"Africa (excl MENA)"
"rights",18,"Africa (excl MENA)"
"people",18,"Africa (excl MENA)"
"parliament",18,"Africa (excl MENA)"
"court",17,"Africa (excl MENA)"
"southern",17,"Africa (excl MENA)"
"international",16,"Africa (excl MENA)"
"committee",15,"Africa (excl MENA)"
"accordance",15,"Africa (excl MENA)"
"transitional",15,"Africa (excl MENA)"
"  ",15,"Africa (excl MENA)"
"states",15,"Africa (excl MENA)"
"federal",15,"Africa (excl MENA)"
"development",14,"Africa (excl MENA)"
"member",13,"Africa (excl MENA)"
"general",13,"Africa (excl MENA)"
"constitutional",13,"Africa (excl MENA)"
"service",13,"Africa (excl MENA)"
"implementation",13,"Africa (excl MENA)"
"ensure",12,"Africa (excl MENA)"
"person",12,"Africa (excl MENA)"
"including",12,"Africa (excl MENA)"
"act",12,"Africa (excl MENA)"
"period",12,"Africa (excl MENA)"
"functions",12,"Africa (excl MENA)"
"€¨",12,"Africa (excl MENA)"
"office",12,"Africa (excl MENA)"
