Sexe,Edat,Nivell Estudis,Sector,Perfil,Windows,Interessos,Twitter,Anglès
Masculí,Entre 25 i 34 anys,Grau,Financer,Analista / programador,Sí,Anàlisi,No,Avançat
Masculí,Més de 44 anys,PostGrau,Tecnologia,Directiu,No,Tècnic,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Sanitari,Administratiu,Sí,Gestió,No,Intermig
Masculí,Entre 35 i 44 anys,Grau,Financer,Analista / programador,Sí,Gestió,No,Bàsic
Femení,Entre 25 i 34 anys,Màster,Financer,Administratiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,No,Bàsic
Femení,Entre 35 i 44 anys,Grau,Tecnologia,Analista / programador,No,Anàlisi,No,Avançat
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Financer,Administratiu,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 25 i 34 anys,Grau,Financer,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,No,Avançat
Femení,Entre 35 i 44 anys,PostGrau,Administració,Directiu,Sí,Anàlisi,No,Bàsic
Femení,Entre 25 i 34 anys,Grau,Financer,Tècnic,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Avançat
Femení,Entre 35 i 44 anys,Màster,Financer,Altres,Sí,Gestió,Sí,Intermig
Masculí,Més de 44 anys,Grau (1er cicle),Financer,Analista / programador,Sí,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Comercial,Tècnic,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Màster,Comercial,Administratiu,Sí,Anàlisi,No,Avançat
Masculí,Entre 35 i 44 anys,Grau,Altres,Científic,Sí,Anàlisi,No,Intermig
Masculí,Entre 25 i 34 anys,Altres,Tecnologia,Tècnic,Sí,Tècnic,Sí,Avançat
Femení,Més de 44 anys,Màster,Tecnologia,Directiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Altres,Sí,Gestió,Sí,Avançat
Femení,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Altres,Tecnologia,Directiu,Sí,Anàlisi,Sí,Avançat
Masculí,Fins a 24 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,No,Avançat
Femení,Entre 25 i 34 anys,Grau,Altres,Administratiu,Sí,Gestió,No,Intermig
Femení,Entre 25 i 34 anys,Grau,Comercial,Científic,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Grau,Investigació,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,No,Gestió,Sí,Avançat
Femení,Entre 25 i 34 anys,Grau,Comercial,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Tècnic,No,Intermig
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Intermig
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Intermig
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Avançat
Masculí,Entre 25 i 34 anys,Màster,Secundari,Analista / programador,Sí,Gestió,Sí,Avançat
Masculí,Més de 44 anys,Màster,Tecnologia,Directiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Tecnologia,Tècnic,Sí,Tècnic,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Secundari,Tècnic,Sí,Tècnic,Sí,Avançat
Masculí,Entre 35 i 44 anys,Màster,Financer,Altres,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Financer,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Financer,Administratiu,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Tecnologia,Administratiu,Sí,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Investigació,Altres,Sí,Anàlisi,No,Avançat
Masculí,Entre 35 i 44 anys,Màster,Financer,Directiu,Sí,Anàlisi,Sí,Avançat
Femení,Entre 35 i 44 anys,Grau,Administració,Altres,Sí,Anàlisi,No,Intermig
